Ticker,Type,GICS_Sector,GICS_SubIndustry
JCI,Equity,Industrials,Building Products
JKHY,Equity,Financials,Transaction & Payment Processing Services
JNJ,Equity,Health Care,Pharmaceuticals
JPM,Equity,Financials,Diversified Banks
KDP,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KEY,Equity,Financials,Regional Banks
KEYS,Equity,Information Technology,Electronic Equipment & Instruments
KHC,Equity,Consumer Staples,Packaged Foods & Meats
KIM,Equity,Real Estate,Retail REITs
KKR,Equity,Financials,Asset Management & Custody Banks
KLAC,Equity,Information Technology,Semiconductor Materials & Equipment
KMB,Equity,Consumer Staples,Household Products
KMI,Equity,Energy,Oil & Gas Storage & Transportation
KO,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
KR,Equity,Consumer Staples,Food Retail
KVUE,Equity,Consumer Staples,Personal Care Products
L,Equity,Financials,Multi-line Insurance
LDOS,Equity,Industrials,Diversified Support Services
LEN,Equity,Consumer Discretionary,Homebuilding
LH,Equity,Health Care,Health Care Services
LHX,Equity,Industrials,Aerospace & Defense
LII,Equity,Industrials,Building Products
LIN,Equity,Materials,Industrial Gases
LITE,Equity,Information Technology,Communications Equipment
LLY,Equity,Health Care,Pharmaceuticals
LMT,Equity,Industrials,Aerospace & Defense
LNT,Equity,Utilities,Electric Utilities
LOW,Equity,Consumer Discretionary,Home Improvement Retail
LRCX,Equity,Information Technology,Semiconductor Materials & Equipment
LULU,Equity,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
LUV,Equity,Industrials,Passenger Airlines
LVS,Equity,Consumer Discretionary,Casinos & Gaming
LYB,Equity,Materials,Specialty Chemicals
LYV,Equity,Communication Services,Movies & Entertainment
MA,Equity,Financials,Transaction & Payment Processing Services
MAA,Equity,Real Estate,Multi-Family Residential REITs
MAR,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
MAS,Equity,Industrials,Building Products
MCD,Equity,Consumer Discretionary,Restaurants
MCHP,Equity,Information Technology,Semiconductors
MCK,Equity,Health Care,Health Care Distributors
MCO,Equity,Financials,Financial Exchanges & Data
MDLZ,Equity,Consumer Staples,Packaged Foods & Meats
MDT,Equity,Health Care,Health Care Equipment
MET,Equity,Financials,Life & Health Insurance
META,Equity,Communication Services,Interactive Media & Services
MGM,Equity,Consumer Discretionary,Casinos & Gaming
MKC,Equity,Consumer Staples,Packaged Foods & Meats
MLM,Equity,Materials,Construction Materials
MMM,Equity,Industrials,Industrial Conglomerates
MNST,Equity,Consumer Staples,Soft Drinks & Non-alcoholic Beverages
MO,Equity,Consumer Staples,Tobacco
MOS,Equity,Materials,Fertilizers & Agricultural Chemicals
MPC,Equity,Energy,Oil & Gas Refining & Marketing
MPWR,Equity,Information Technology,Semiconductors
MRK,Equity,Health Care,Pharmaceuticals
MRNA,Equity,Health Care,Biotechnology
MRSH,Equity,Financials,Insurance Brokers
MRVL,Equity,Information Technology,Semiconductors
MS,Equity,Financials,Investment Banking & Brokerage
MSCI,Equity,Financials,Financial Exchanges & Data
MSFT,Equity,Information Technology,Systems Software
MSI,Equity,Information Technology,Communications Equipment
MTB,Equity,Financials,Regional Banks
MTD,Equity,Health Care,Life Sciences Tools & Services
MU,Equity,Information Technology,Semiconductors
NCLH,Equity,Consumer Discretionary,"Hotels, Resorts & Cruise Lines"
NDAQ,Equity,Financials,Financial Exchanges & Data
NDSN,Equity,Industrials,Industrial Machinery & Supplies & Components
NEE,Equity,Utilities,Multi-Utilities
NEM,Equity,Materials,Gold
NFLX,Equity,Communication Services,Movies & Entertainment
NI,Equity,Utilities,Multi-Utilities
NKE,Equity,Consumer Discretionary,"Apparel, Accessories & Luxury Goods"
NOC,Equity,Industrials,Aerospace & Defense
NOW,Equity,Information Technology,Systems Software
NRG,Equity,Utilities,Independent Power Producers & Energy Traders
NSC,Equity,Industrials,Rail Transportation
